"BARRIO","COMUNA","NUM_ACCIDENTES","HERIDOS","ATROPELLOS","RIESGO_NUMERICO","RIESGO"
"Pedregal","Doce de Octubre",901,721,170,1,"Medio"
"Facultad Veterinaria y Zootecnia U.de.A.","Robledo",232,134,15,2,"Bajo"
"Picacho","Doce de Octubre",772,600,130,1,"Medio"
"La Aguacatala","El Poblado",1922,770,46,1,"Medio"
"Suburbano El Plan","Corregimiento de Santa Elena",310,262,35,2,"Bajo"
"Carpinelo","Popular",105,83,39,2,"Bajo"
"Bomboná No. 1","La Candelaria",1164,521,79,1,"Medio"
"Asomadera No. 1","Buenos Aires",415,167,16,2,"Bajo"
"Suburbano el Tesoro","Corregimiento de Santa Elena",20,9,0,2,"Bajo"
"Nueva Villa de la Iguaná","Robledo",428,265,28,2,"Bajo"
"Santa Mónica","La América",400,259,22,2,"Bajo"
"La Rosa","Santa Cruz",231,174,47,2,"Bajo"
"Palenque","Robledo",399,246,37,2,"Bajo"
"Juan Pablo II","Buenos Aires",35,27,11,2,"Bajo"
"La Francia","Santa Cruz",257,174,61,2,"Bajo"
"B. Cerro  El Volador","Robledo",168,99,27,2,"Bajo"
"La Ladera","Villa Hermosa",81,51,8,2,"Bajo"
"Las Violetas","Belén",377,239,73,2,"Bajo"
"Las Palmas","La Candelaria",629,187,32,2,"Bajo"
"Miranda","Aranjuez",1049,630,142,1,"Medio"
"Laureles","Laureles Estadio",1515,684,71,1,"Medio"
"Los Alcázares","San Javier",452,287,47,2,"Bajo"
"Castropol","El Poblado",1051,455,50,1,"Medio"
"Héctor Abad Gómez","Castilla",910,530,43,1,"Medio"
"Las Esmeraldas","Aranjuez",388,241,69,2,"Bajo"
"Playón de Los Comuneros","Santa Cruz",320,215,63,2,"Bajo"
"Granizal","Popular",340,198,89,2,"Bajo"
"Villa del Socorro","Santa Cruz",429,282,92,2,"Bajo"
"Doce de Octubre No.1","Doce de Octubre",527,418,111,2,"Bajo"
"Los Balsos No.1","El Poblado",348,111,5,2,"Bajo"
"La Mansión","Villa Hermosa",287,197,30,2,"Bajo"
"6001","Corregimiento de San Cristóbal",39,28,7,2,"Bajo"
"Diego Echavarría","Belén",413,196,18,2,"Bajo"
"Área de Expansión San Antonio de Prado","Corregimiento de San Antonio de Prado",57,39,7,2,"Bajo"
"Tenche","Guayabal",1003,489,42,1,"Medio"
"Pablo VI","Santa Cruz",92,60,30,2,"Bajo"
"Aranjuez","Aranjuez",380,263,58,2,"Bajo"
"Picachito","Doce de Octubre",76,68,15,2,"Bajo"
"Santa María de Los Ángeles","El Poblado",247,133,3,2,"Bajo"
"El Salvador","Buenos Aires",568,355,69,2,"Bajo"
"El Nogal-Los Almendros","Belén",433,197,23,2,"Bajo"
"Santa Lucía","La América",255,163,48,2,"Bajo"
"Lorena","Laureles Estadio",928,462,82,1,"Medio"
"Cuarta Brigada","Laureles Estadio",1182,614,101,1,"Medio"
"Los Pinos","La América",1128,574,86,1,"Medio"
"Área de Expansión Pajarito","Corregimiento de San Cristóbal",754,569,92,1,"Medio"
"Los Naranjos","El Poblado",465,154,14,2,"Bajo"
"Andalucía","Santa Cruz",240,159,58,2,"Bajo"
"Barrio de Jesús","Buenos Aires",265,175,42,2,"Bajo"
"Bosques de San Pablo","Robledo",368,189,24,2,"Bajo"
"Bomboná No.1","La Candelaria",69,39,5,2,"Bajo"
"Sucre","Villa Hermosa",679,456,71,1,"Medio"
"El Castillo","El Poblado",282,86,10,2,"Bajo"
"Gerona","Buenos Aires",446,311,65,2,"Bajo"
"La Colina","Guayabal",515,299,50,2,"Bajo"
"Alejandría","El Poblado",499,132,14,2,"Bajo"
"Barrios de Jesús","Buenos Aires",8,5,2,2,"Bajo"
"San Javier No.1","San Javier",726,509,97,1,"Medio"
"Villa Niza","Santa Cruz",174,118,36,2,"Bajo"
"Llanaditas","Villa Hermosa",61,48,25,2,"Bajo"
"Simón Bolívar","La América",412,223,24,2,"Bajo"
"El Placer","Corregimiento de Santa Elena",10,7,0,2,"Bajo"
"Oleoducto","Castilla",477,291,22,2,"Bajo"
"Los Alpes","Belén",435,265,38,2,"Bajo"
"La Isla","Santa Cruz",193,138,70,2,"Bajo"
"Miraflores","Buenos Aires",618,393,48,1,"Medio"
"Antonio Nariño","San Javier",240,190,40,2,"Bajo"
"Area De Expansion Altavista","Corregimiento de Altavista",47,40,11,2,"Bajo"
"Pedregal Bajo","Corregimiento de San Cristóbal",99,82,5,2,"Bajo"
"Los Cerros El Vergel","Buenos Aires",240,158,31,2,"Bajo"
"Villatina","Villa Hermosa",471,340,95,2,"Bajo"
"Palermo","Aranjuez",358,231,58,2,"Bajo"
"Oriente","Manrique",90,72,30,2,"Bajo"
"Los Mangos","Villa Hermosa",509,362,104,2,"Bajo"
"San José la Cima No.2","Manrique",20,19,4,2,"Bajo"
"Altavista Sector Central","Corregimiento de Altavista",124,95,22,2,"Bajo"
"Bermejal-Los Alamos","Aranjuez",232,161,63,2,"Bajo"
"Asomadera No. 3","Buenos Aires",144,64,2,2,"Bajo"
"La Avanzada","Popular",112,86,31,2,"Bajo"
"Calasanz","La América",810,382,47,1,"Medio"
"El Progreso No.2","Doce de Octubre",145,103,25,2,"Bajo"
"El Diamante No. 2","El Poblado",259,93,11,2,"Bajo"
"Patio Bonito","El Poblado",960,367,33,1,"Medio"
"Centro Administrativo","La Candelaria",298,144,21,2,"Bajo"
"El Picacho","Corregimiento de San Cristóbal",21,17,4,2,"Bajo"
"Las Independencias","San Javier",72,60,30,2,"Bajo"
"Villa Turbay","Villa Hermosa",43,35,8,2,"Bajo"
"Trece de Noviembre","Villa Hermosa",56,24,14,2,"Bajo"
"Olaya Herrera","Robledo",184,139,43,2,"Bajo"
"Mirador del Doce","Doce de Octubre",41,35,13,2,"Bajo"
"Santander","Doce de Octubre",535,429,128,2,"Bajo"
"Piedras Blancas","Corregimiento de Santa Elena",99,79,40,2,"Bajo"
"San Pablo","Corregimiento de Altavista",364,17,5,2,"Bajo"
"Nuevos Conquistadores","San Javier",98,72,27,2,"Bajo"
"Las Lomas No.2","El Poblado",291,126,5,2,"Bajo"
"Área de Expansión Altos de Calasanz","Corregimiento de San Cristóbal",103,51,9,2,"Bajo"
"La Piñuela","Aranjuez",334,245,51,2,"Bajo"
"Piedras Blancas Represa","Corregimiento de Santa Elena",5,4,0,2,"Bajo"
"El Salado","San Javier",182,135,39,2,"Bajo"
"El Rodeo","Guayabal",161,96,20,2,"Bajo"
"Villa Guadalupe","Popular",362,270,94,2,"Bajo"
